Kabupaten / Kota,,,,,
,Jumlah Kendaraan Bermotor Menurut Kabupaten/Kota dan Jenis Kendaraan di Provinsi Jawa Tengah (Unit),,,,
,Mobil Penumpang,Bus,Truk,Sepeda Motor,Jumlah
,2020,2020,2020,2020,2020
3300 PROVINSI JAWA TENGAH,1309343,37785,580411,16214173,18141696
3301 Kabupaten Cilacap,44767,793,20762,752008,818330
3302 Kabupaten Banyumas,60915,1721,25160,693638,781434
3303 Kabupaten Purbalingga,23347,397,12106,361588,397438
3304 Kabupaten Banjarnegara,20088,648,13587,320372,354695
3305 Kabupaten Kebumen,25038,1224,14191,494111,534564
3306 Kabupaten Purworejo,21659,776,8573,297285,328293
3307 Kabupaten Wonosobo,20135,983,14224,265486,300828
3308 Kabupaten Magelang,43327,1010,17643,454980,516960
3309 Kabupaten Boyolali,38230,1719,17217,469412,526578
3310 Kabupaten Klaten,55235,1278,22415,710411,789339
3311 Kabupaten Sukoharjo,52543,683,12856,526087,592169
3312 Kabupaten Wonogiri,36156,1982,14780,377099,430017
3313 Kabupaten Karanganyar,51584,1567,16947,466935,537033
3314 Kabupaten Sragen,39874,1055,19039,524354,584322
3315 Kabupaten Grobogan,25710,1363,14814,570575,612462
3316 Kabupaten Blora,19151,676,10307,369753,399887
3317 Kabupaten Rembang,13301,1086,8997,257103,280487
3318 Kabupaten Pati,45035,1322,25568,614722,686647
3319 Kabupaten Kudus,35942,1225,18731,480262,536160
3320 Kabupaten Jepara,34586,1263,23700,597237,656786
3321 Kabupaten Demak,25018,1045,15857,522943,564863
3322 Kabupaten Semarang,43204,1872,19531,474110,538717
3323 Kabupaten Temanggung,27065,906,15839,255366,299176
3324 Kabupaten Kendal,26207,888,13141,480569,520805
3325 Kabupaten Batang,18082,521,11257,319972,349832
3326 Kabupaten Pekalongan,21303,416,7724,386291,415734
3327 Kabupaten Pemalang,25436,782,12058,521992,560268
3328 Kabupaten Tegal,28295,451,14812,589296,632854
3329 Kabupaten Brebes,18706,665,9989,383749,413109
3371 Kota Magelang,19151,676,10307,369753,399887
3372 Kota Surakarta,71120,1802,23457,465626,562005
3373 Kota Salatiga,19701,471,5733,120507,146412
3374 Kota Semarang,231164,3059,76570,1382434,1693227
3375 Kota Pekalongan,15436,614,6534,175182,197766
3376 Kota Tegal,12832,846,5985,162965,182612
